candle_begin_time,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label
2020/1/1,7195.24,7255,7175.15,7200.85,16792.38817,,,,,,,,,,,
2020/1/2,7200.77,7212.5,6924.74,6965.71,31951.48393,,,,,,,,,,,
2020/1/3,6965.49,7405,6871.04,7344.96,68428.50045,,,,,,,,,,,
2020/1/4,7345,7404,7272.21,7354.11,29987.97498,,,,,,,,,,,
2020/1/5,7354.19,7495,7318,7358.75,38331.0856,,,,,,,,,,,
2020/1/6,7357.64,7795.34,7346.76,7758,54635.69532,,,,,,,,,,,
2020/1/7,7758.9,8207.68,7723.71,8145.28,91171.68466,,,,,,,,,,,
2020/1/8,8145.92,8455,7870,8055.98,112622.6426,,,,,,,,,,,
2020/1/9,8054.72,8055.96,7750,7817.76,64239.51983,,,,,,,,,,,
2020/1/10,7817.74,8199,7672,8197.02,82406.77745,7994.808,7937.814836,7994.808,8346.600612,7643.015388,74.16794668,39.25298851,0,0,-0.5,-1
2020/1/11,8198.86,8286.34,8003.16,8020.01,54810.03267,8047.21,7965.213224,8047.21,8308.781889,7785.638111,61.85669119,71.58450542,0,0,0,0
2020/1/12,8020.01,8197,7960,8184.98,38131.49434,8055.15,8038.468816,8055.15,8330.209916,7780.090084,68.03748455,54.94884694,0,0,0,0
2020/1/13,8184.97,8196,8055.89,8110.34,31159.75568,8066.022,8062.425877,8066.022,8344.62809,7787.41591,62.32572557,62.42138684,0,0.25,-0.5,-1
2020/1/14,8110.34,8880,8105.54,8810.01,120399.1267,8264.472,8311.620585,8264.472,8824.471145,7704.472855,81.00787453,166.6666667,-0.085,0.136590909,-0.25,-0.5
2020/1/15,8814.64,8916.48,8564,8821.41,84816.29761,8389.35,8481.55039,8389.35,9093.427491,7685.272509,81.19776926,103.8864231,0.242033333,0.166666667,0.333333333,-1
2020/1/16,8820.01,8859.81,8586,8720.01,51991.07428,8529.35,8561.036927,8529.35,9158.368532,7900.331468,73.07420588,61.80255409,0,0,0,-1
