candle_begin_time,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label
2020/1/1,129.16,133.05,128.68,130.77,144770.522,,,,,,,,,,,
2020/1/2,130.72,130.78,126.38,127.19,213757.0581,,,,,,,,,,,
2020/1/3,127.19,135.14,125.88,134.35,413055.189,,,,,,,,,,,
2020/1/4,134.37,135.85,132.5,134.2,184276.171,,,,,,,,,,,
2020/1/5,134.2,138.19,134.19,135.37,254120.4534,,,,,,,,,,,
2020/1/6,135.37,144.41,134.86,144.15,408020.2738,,,,,,,,,,,
2020/1/7,144.14,145.31,138.76,142.8,447762.1728,,,,,,,,,,,
2020/1/8,142.8,147.77,137.03,140.72,570465.5776,,,,,,,,,,,
2020/1/9,140.76,141.5,135.3,137.74,366076.0657,,,,,,,,,,,
2020/1/10,137.73,145.17,135.32,144.84,409403.5951,142.05,140.8776752,142.05,147.1959965,136.9040035,71.37244121,42.5391655,0,0,0,0
2020/1/11,144.83,148.05,142.09,142.38,368350.5794,141.696,141.3784501,141.696,146.44354,136.94846,60.77133483,121.031746,0,0,0,0
2020/1/12,142.4,146.6,141.76,146.54,229541.8614,142.444,143.0989667,142.444,148.6163201,136.2716799,70.14494278,97.20667786,0,0,0,0
2020/1/13,146.56,147,142.27,143.58,207996.6187,143.016,143.2593112,143.016,148.9694407,137.0625593,57.85026851,49.6519626,0.0258,0,0,-1
2020/1/14,143.58,171.7,143.51,165.64,1108476.312,148.596,150.7195408,148.596,165.8617237,131.3302763,83.99079288,166.6666667,0,0,0,0
2020/1/15,165.6,171.98,159.2,166.4,721687.8038,152.908,155.9463605,152.908,174.4957684,131.3202316,84.40724067,104.1573313,0,0,0,0
2020/1/16,166.4,167.4,157.8,164.21,456170.8672,157.274,158.700907,157.274,177.3563568,137.1916432,77.17598907,55.8814387,0,0,0,0
2020/1/17,164.24,174.81,162.14,169.85,767180.6785,161.936,162.4172713,161.936,180.6633515,143.2086485,82.10990209,85.54446608,0,0,0,0
2020/1/18,169.92,179.5,164.92,174.14,688783.1798,168.048,166.3248476,168.048,175.1812618,160.9147382,85.16004569,118.2336182,0,0,0,0
2020/1/19,174.1,178.05,161.66,166.79,624681.286,168.278,166.4798984,168.278,175.1554344,161.4005656,62.38236637,22.14111922,0,0,0,0
2020/1/20,166.79,169.33,161.24,166.87,358092.8841,168.372,166.6099322,168.372,175.1564104,161.5875896,62.51876191,-50.90304029,-0.4588,0,0,1
2020/1/21,166.86,170.32,164.8,169.49,308007.6353,169.428,167.5699548,169.428,174.7861549,164.0698451,67.3631435,-30.68836894,0.0772,0,0,-1
2020/1/22,169.48,171.47,166.03,168.07,272240.9029,169.072,167.7366366,169.072,174.5066798,163.6373202,61.93952248,-13.38988689,0,0,0,0
2020/1/23,168.07,168.2,159.21,162.81,373414.3499,166.806,166.0944244,166.806,171.2578688,162.3541312,45.11915837,-126.0774841,0,0.45,0,-1
2020/1/24,162.85,164.45,155.55,162.54,430013.199,165.956,164.9096162,165.956,171.5674112,160.3445888,44.34645207,-116.3366337,0,0,0,0
2020/1/25,162.51,162.79,157.61,160.35,219921.652,164.652,163.3897442,164.652,171.663401,157.640599,37.78547252,-80.87759067,0,0,0,0
2020/1/26,160.36,168.08,159.41,167.86,251582.5576,164.326,164.8798294,164.326,170.5100647,158.1419353,61.92931301,38.85523292,0,0,0,0
2020/1/27,167.91,172.56,165.22,170.08,365894.8192,164.728,166.6132196,164.728,171.9991089,157.4568911,66.7038534,134.1324757,0,0,0,0
2020/1/28,170.04,176.2,170.03,175.64,473433.8961,167.294,169.6221464,167.294,178.195652,156.392348,76.09100776,117.2900549,0,0,0,0
2020/1/29,175.58,178.45,173.33,173.72,317382.9016,169.53,170.9880976,169.53,180.1977833,158.8622167,67.83567497,87.99041136,0.2023,0,0,-1
2020/1/30,173.68,187,170.93,184.69,477721.6609,174.398,175.5553984,174.398,186.0364906,162.7595094,81.87770426,117.3075042,0.2023,0.333333333,0,-1
2020/1/31,184.71,185.82,175.22,179.99,385596.5337,176.824,177.0335989,176.824,186.959708,166.688292,66.36186539,78.61769521,0,0,0,0
2020/2/1,179.94,184.28,179.23,183.6,259370.129,179.528,179.2223993,179.528,188.120568,170.935432,71.53990437,80.14404154,0,0,0,0
2020/2/2,183.63,193.43,179.1,188.44,552621.1362,182.088,182.2949329,182.088,192.0410691,172.1349309,77.37630528,137.8453213,0,0,0,0
