date,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label,original_preds
2024-9-1,58974,59076.59,57201,57301.86,20705.15741,58758.75,58843.81067,58758.75,60238.97373,57278.52627,21.47883914,-166.1252259,0,0,0,0,60065.90267
2024-9-2,57301.77,59425.69,57128,59132.13,22895.01461,58778.196,58939.91711,58778.196,60274.88326,57281.50874,46.4421612,-36.10046877,-0.1308,0.0025,-0.25,-0.5,58416.8835
2024-9-3,59132.12,59809.65,57415,57487.73,22828.18447,58403.94,58455.85474,58403.94,60059.88946,56747.99054,34.22311048,-50.54088594,-0.1858,-0.083333333,0.333333333,0.333333333,59231.69497
2024-9-4,57487.74,58519,55606,57970.9,35560.82146,58173.322,58294.20316,58173.322,59678.20448,56668.43952,40.01925746,-117.4264757,-0.0821,-0.04,-0.6,0.2,58013.93571
2024-9-5,57970.9,58327.07,55643.65,56180,27806.91413,57614.524,57589.46877,57614.524,59533.23741,55695.81059,28.41731918,-121.5362491,-0.248033333,-0.092592593,-0.333333333,0.333333333,59115.90342
2024-9-6,56180,57008,52550,53962.97,54447.76826,56946.746,56380.63585,56946.746,60480.38741,53413.10459,19.61691692,-146.1534199,-0.06736,0.022222222,0,-0.2,57093.53522
2024-9-7,53962.97,54850,53745.54,54160.86,16694.04774,55952.492,55640.71057,55952.492,59257.13473,52647.84927,22.30160455,-89.1164991,0,0,0,0,55095.10576
2024-9-8,54160.86,55318,53629.01,54869.95,16274.14779,55428.936,55383.79038,55428.936,58408.22672,52449.64528,32.41236612,-47.4608245,0,0,0,-1,53563.92286
2024-9-9,54869.95,58088,54591.96,57042,32384.51737,55243.156,55936.52692,55243.156,57620.21973,52866.09227,54.88905086,78.80244799,-0.56435,-0.2,-0.5,0,54565.86188
2024-9-10,57042.01,58044.36,56386.4,57635.99,23626.78126,55534.354,56503.01461,55534.354,58565.79411,52502.91389,59.49379873,104.9590648,-0.04848,0,-0.2,-0.6,56358.6706
2024-9-11,57635.99,57981.71,55545.19,57338,33026.56757,56209.36,56781.34307,56209.36,59036.76336,53381.95664,55.91463199,55.19659711,-0.21075,0,-0.5,0,57652.97586
2024-9-12,57338,58588,57324,58132.32,31074.40631,57003.652,57231.66872,57003.652,59255.70638,54751.59762,63.27607768,98.52809154,0.05684,0.025454545,0.2,-0.2,57050.94321
2024-9-13,58132.31,60625,57632.62,60498,29825.23333,58129.262,58320.44581,58129.262,60605.14254,55653.38146,77.35384196,142.6529899,0.20095,0,0,-1,58911.75658
2024-9-14,60497.99,60610.45,59400,59993.03,12137.90901,58719.468,58877.97387,58719.468,61282.63127,56156.30473,70.1760159,95.61773367,0,0,0,0,60431.51979
2024-9-15,59993.02,60395.8,58691.05,59132,13757.92361,59018.67,58962.64925,59018.67,61344.33658,56693.00342,58.58859365,39.11756768,0,0,0,0,59808.85258
2024-9-16,59132,59210.7,57493.3,58213.99,26477.5642,59193.868,58713.09617,59193.868,61076.48169,57311.25431,48.02115235,-69.88512431,-0.171433333,0.076666667,-0.666666667,1,59439.85879
2024-9-17,58213.99,61320,57610.01,60313.99,33116.25878,59630.202,59246.72744,59630.202,61328.7061,57931.6979,65.70749076,51.01789542,0.10105,0.128125,-0.25,-0.5,58075.08432
2024-9-18,60313.99,61786.24,59174.8,61759.99,36087.02469,59882.6,60084.48163,59882.6,62260.92631,57504.27369,73.47560746,125.7130043,0.08618,0,0.4,-1,59200.51962
2024-9-19,61759.98,63850,61555,62947.99,34332.52608,60473.592,61038.98442,60473.592,63903.88159,57043.30241,78.48154778,131.7574274,-0.07025,0.085227273,0.166666667,-1,61296.56457
2024-9-20,62948,64133.32,62350,63201.05,25466.37794,61287.402,61759.67295,61287.402,64979.15853,57595.64547,79.51116221,92.52601054,-0.1806,0,0,-1,62395.97713
2024-9-21,63201.05,63559.9,62758,63348.96,8375.34608,62314.396,62289.4353,62314.396,64606.45351,60022.33849,80.20321974,62.82834158,0,0,0,0,62559.23541
2024-9-22,63348.97,64000,62357.93,63578.76,14242.19892,62967.35,62719.2102,62967.35,64242.38947,61692.31053,81.4218971,58.06320564,0,0,0,0,63722.61752
2024-9-23,63578.76,64745.88,62538.75,63339.99,24078.05287,63283.35,62926.1368,63283.35,63697.13202,62869.56798,75.39393726,124.5419639,0.1909,-0.017272727,0.5,-1,63541.751
2024-9-24,63339.99,64688,62700,64262.7,23185.04759,63546.292,63371.65787,63546.292,64302.59198,62789.99202,81.87562004,135.1548018,0.10115,0.05,0.5,-1,63572.58807
2024-9-25,64262.7,64817.99,62947.08,63152.01,17813.11168,63536.484,63298.44191,63536.484,64311.4794,62761.4886,58.63528699,39.37625564,0.2615,0.066666667,0.333333333,0.333333333,64166.13373
2024-9-26,63152.01,65839,62670,65173.99,28373.30593,63901.49,63923.62461,63901.49,65379.56607,62423.41393,74.86840179,148.2496684,0.18575,0.090909091,0.25,-1,61776.85573
2024-9-27,65173.99,66498,64819.9,65769.95,22048.80487,64339.728,64539.0664,64339.728,66371.00572,62308.45028,78.04304055,138.0505112,0.175566667,0.177777778,0.333333333,-1,64370.9088
2024-9-28,65769.95,66260,65422.23,65858,9127.23316,64843.33,64978.71094,64843.33,66881.99827,62804.66173,78.54359736,89.33956182,0,0,0,0,65327.41373
2024-9-29,65858,66076.12,65432,65602.01,8337.74111,65111.192,65186.47729,65111.192,67126.12114,63096.26286,72.53424173,51.7382442,0,0,0,-1,65338.60085
