date,open,high,low,close,volume,SMA,EMA,BB_MID,BB_UPPER,BB_LOWER,RSI,CCI,VADER_Compound,TextBlob_Polarity,FinBERT_Label,CryptoBERT_Label,original_preds
2024-9-1,2513,2516.28,2400,2425.72,223127.776,2504.134,2502.574604,2504.134,2583.34122,2424.92678,22.68110922,-164.2040415,0,0,0,0,2557.707286
2024-9-2,2425.71,2564.83,2423.52,2538.01,262632.8385,2506.07,2514.386403,2506.07,2587.975439,2424.164561,49.40422373,17.22844649,0,0,0,0,2488.148784
2024-9-3,2538,2553.6,2411.12,2425.29,224793.1299,2485.606,2484.687602,2485.606,2585.017012,2386.194988,34.45968123,-62.34414401,0,0,0,0,2580.890092
2024-9-4,2425.28,2490,2306.65,2450.71,384179.3854,2470.548,2473.361735,2470.548,2563.523374,2377.572626,39.60927933,-108.8416951,0,0,0,0,2487.447565
2024-9-5,2450.71,2466,2348.04,2368.81,278549.0969,2441.708,2438.511156,2441.708,2551.960062,2331.455938,30.08831359,-105.2556459,0,0,0,0,2500.237035
2024-9-6,2368.81,2408.83,2150.55,2225.23,643027.111,2401.61,2367.417438,2401.61,2608.998055,2194.221945,19.70743324,-151.7571929,0,0,-0.5,1,2380.990746
2024-9-7,2225.24,2311.27,2220.98,2273.58,219453.2076,2348.724,2336.138292,2348.724,2522.077587,2175.370413,29.88941822,-80.25166834,0,0,0,0,2269.281368
2024-9-8,2273.58,2333.58,2240.94,2297.3,192775.6493,2323.126,2323.192195,2323.126,2480.784162,2165.467838,34.94818598,-37.57010452,0,0,0,0,2258.36499
2024-9-9,2297.3,2381.41,2272.8,2359.5,321698.99,2304.884,2335.294796,2304.884,2412.407609,2197.360391,47.39072938,41.01007311,0,0,0,0,2286.92194
2024-9-10,2359.51,2400,2320.41,2388.52,224382.1729,2308.826,2353.036531,2308.826,2426.409701,2191.242299,52.67032119,110.8205164,0,0,-1,-1,2367.665906
2024-9-11,2388.52,2389.32,2277.68,2340.55,282898.3125,2331.89,2348.874354,2331.89,2415.032234,2248.747766,43.62445079,31.21834511,-0.2023,0.3,0,1,2403.836389
2024-9-12,2340.54,2391.93,2315.39,2361.76,202611.1308,2349.526,2353.169569,2349.526,2410.042491,2289.009509,48.51179687,61.13139093,0.1779,0.068181818,0,-1,2357.217521
2024-9-13,2361.75,2464.82,2337.35,2439.19,253888.616,2377.904,2381.843046,2377.904,2446.392425,2309.415575,63.10687333,146.7438146,0,0,0,0,2382.10939
2024-9-14,2439.19,2440.6,2376.72,2417.79,122931.2302,2389.562,2393.825364,2389.562,2461.31698,2317.80702,57.47807864,80.87260266,-0.3182,0,0,1,2437.914142
2024-9-15,2417.8,2430.32,2283.75,2316.1,174364.1946,2375.078,2367.916909,2375.078,2467.954778,2282.201222,37.57224479,-59.27735419,0,0,0,0,2444.394463
2024-9-16,2316.09,2335.7,2252.39,2295.68,330555.232,2366.104,2343.83794,2366.104,2477.429886,2254.778114,34.56733439,-118.5209482,0,0,0,-1,2316.038632
2024-9-17,2295.67,2393.63,2263.29,2341.8,274206.2588,2362.112,2343.158626,2362.112,2475.192325,2249.031675,46.62007741,-41.09599004,0,0,0,0,2276.0403
2024-9-18,2341.79,2376.14,2277.34,2374.75,292917.6008,2349.224,2353.689084,2349.224,2435.813367,2262.634633,54.16067301,-5.81094826,0,0,0,-1,2304.501718
2024-9-19,2374.74,2494.95,2372.6,2465.21,326746.032,2358.708,2390.862723,2358.708,2477.61594,2239.80006,69.12705782,166.6666667,0,0,0,0,2401.32091
2024-9-20,2465.21,2571.93,2437.31,2561.4,340754.5912,2407.768,2447.708482,2407.768,2597.310734,2218.225266,78.47033603,117.6444795,0,0,0,0,2498.101721
2024-9-21,2561.4,2623.34,2528.97,2612.4,154757.8773,2471.112,2502.605655,2471.112,2679.258648,2262.965352,82.06716976,107.9368025,0,0,0,0,2562.611056
2024-9-22,2612.4,2632.57,2524.58,2581,214266.3257,2518.952,2528.737103,2518.952,2693.460991,2344.443009,72.71759034,68.33375217,0,0,0,0,2608.857323
2024-9-23,2580.99,2702.82,2539.49,2646.97,333282.0149,2573.396,2568.148069,2573.396,2696.165315,2450.626685,79.00047335,92.4795572,0,0,0,0,2584.324468
2024-9-24,2646.98,2670.96,2591.56,2653.2,288600.0402,2610.994,2596.498712,2610.994,2682.753603,2539.234397,79.55623516,92.02155626,0,0,0,0,2656.755082
2024-9-25,2653.2,2673.5,2554.05,2579.95,220343.4293,2614.704,2590.982475,2614.704,2677.135693,2552.272307,57.27741458,-16.33764751,0,0,0,0,2734.689551
2024-9-26,2580.09,2666.22,2559.2,2632.26,278686.3573,2618.676,2604.74165,2618.676,2682.526864,2554.825136,65.82138187,19.38525007,0,0,0,0,2619.609532
2024-9-27,2632.25,2728.6,2615.21,2694.43,281826.9792,2641.362,2634.637767,2641.362,2715.346218,2567.377782,73.65005171,151.1324196,0,0,0,0,2657.893898
2024-9-28,2694.43,2704.35,2650,2675.21,137230.0342,2647.01,2648.161844,2647.01,2725.987559,2568.032441,67.66104616,79.86111111,0,0,0,0,2722.677781
2024-9-29,2675.21,2683.7,2629.73,2657.62,160554.3146,2647.894,2651.314563,2647.894,2727.227057,2568.560943,61.90250649,23.28984007,0,0,0,0,2734.877813
2024-9-30,2657.62,2663.5,2575,2602.23,282475.7961,2652.35,2634.953042,2652.35,2717.075274,2587.624726,46.36880121,-90.521848,0,0,0,0,2655.358528
2024-10-1,2602.24,2659,2414,2447.79,502828.6804,2615.456,2572.565361,2615.456,2794.055106,2436.856894,24.73541592,-150.2169107,0,0,0,0,2627.779026
2024-10-2,2447.78,2499,2352,2364.1,317484.735,2549.39,2503.076908,2549.39,2794.324955,2304.455045,18.79554167,-119.9867051,-0.296,0,-1,1,2511.514248
